title,category,description,x,y,z,launch_year,team_size,funding,success_rate
AI Chatbot Assistant,AI/ML,An intelligent chatbot for customer service automation,2.5,3.1,1.8,2023,8,250000,0.85
E-commerce Mobile App,Mobile App,Cross-platform mobile app for online shopping,1.2,4.5,2.3,2022,12,500000,0.92
Blockchain DeFi Platform,Blockchain,Decentralized finance platform for lending and borrowing,-0.8,2.7,3.1,2024,15,800000,0.78
IoT Smart Home Hub,IoT,Centralized hub for smart home device management,3.2,-1.5,0.9,2023,6,180000,0.88
Data Analytics Dashboard,Data Science,Real-time analytics dashboard for business intelligence,-2.1,1.8,2.7,2022,10,320000,0.91
AR Gaming Experience,AR/VR,Augmented reality mobile game with social features,0.5,-2.3,4.2,2024,20,1200000,0.75
Web Development Framework,Web Development,Modern JavaScript framework for building web applications,4.1,0.7,1.5,2021,25,1500000,0.95
Machine Learning Pipeline,AI/ML,Automated ML pipeline for model training and deployment,-1.8,3.9,0.3,2023,14,450000,0.82
Mobile Payment Solution,Mobile App,Secure mobile payment processing system,2.9,-0.4,3.8,2022,18,750000,0.89
Smart City Infrastructure,IoT,Connected infrastructure for smart city management,-3.5,2.1,1.2,2024,30,2000000,0.70
Cryptocurrency Exchange,Blockchain,Secure cryptocurrency trading platform,1.7,-3.2,2.9,2023,22,1800000,0.83
Predictive Analytics Tool,Data Science,Advanced predictive analytics for business forecasting,0.3,4.8,-1.1,2022,16,680000,0.87
VR Training Simulator,AR/VR,Virtual reality training simulator for professional development,-2.8,-1.9,3.5,2024,12,950000,0.79
Progressive Web App,Web Development,Progressive web application with offline capabilities,3.8,1.3,-0.8,2023,9,280000,0.90
Natural Language Processor,AI/ML,Advanced NLP system for text analysis and processing,-0.6,3.6,2.1,2022,19,720000,0.84
Mobile Health Monitoring,Mobile App,Health monitoring app with wearable device integration,2.1,-2.7,1.7,2023,11,380000,0.86
Smart Agriculture System,IoT,IoT-based smart agriculture monitoring and control system,-1.4,4.2,-0.5,2024,8,220000,0.81
DeFi Yield Farming,Blockchain,Automated yield farming platform for DeFi protocols,4.3,-0.9,2.8,2023,13,550000,0.76
Business Intelligence Platform,Data Science,Comprehensive BI platform for data visualization and reporting,1.4,2.9,3.3,2022,21,890000,0.93
Mixed Reality Gaming,AR/VR,Mixed reality gaming platform with multiplayer support,-3.1,0.4,4.1,2024,17,1100000,0.77
